trial_id,title,status,phase,start_date,completion_date,primary_completion,enrollment,enrollment_type,conditions,intervention_names,intervention_types,sponsor,sponsor_class,countries,min_age,max_age,gender,std_ages,primary_outcome,results_posted,is_pediatric,start_year
NCT02601313,Study of Brexucabtagene Autoleucel (KTE-X19) in Participants With Relapsed/Refractory Mantle Cell Lymphoma (Cohort 1 and Cohort 2),COMPLETED,Phase 2,2015-11-09,2023-09-22,2023-09-22,105.0,,,brexucabtagene autoleucel | Cyclophosphamide | Fludarabine | Axicabtagene Ciloleucel,BIOLOGICAL | DRUG | DRUG | DRUG,"Kite, A Gilead Company",INDUSTRY,United States | Germany | Netherlands | France,18 Years,,ALL,,Percentage of Participants With Objective Response (OR) Per the Lugano Classification According to Independent Radiology Review Committee (IRRC) in Cohort 1,False,False,2015.0
NCT03994913,Clinical Trial to Evaluate CD19 CAR T (CT032) in Patients With Relapsed and/or Refractory Non-Hodgkin's B Cell Lymphoma,COMPLETED,Phase 1/2,2019-08-14,2021-05-27,2021-01-20,20.0,,,CAR-CD19 T Cells,BIOLOGICAL,"CARsgen Therapeutics Co., Ltd.",INDUSTRY,China,18 Years,70 Years,ALL,,"Phase Ⅰ, Safety/Tolerability: Dose-limiting toxicity (DLT)",False,False,2019.0
NCT07488923,"A First-in-human (FIH), Phase 1 Study of ML261, an Autologous Potency Enhanced Anti-DLL3 CAR T Cell Therapy, in Participants With R/R SCLC or Select NECs (SPECTRAL-1)",RECRUITING,Phase 1,2026-06-23,,2028-03,110.0,,,ML261,BIOLOGICAL,"Moonlight Bio, Inc",INDUSTRY,United States,18 Years,,ALL,,Incidence of dose-limiting toxicities (DLTs) listed during the DLT observation period,False,False,2026.0
NCT05081479,A Study of N-Acetylcysteine (N-AC) in People Receiving CAR T-cell Therapy for Lymphoma,ACTIVE_NOT_RECRUITING,Phase 1,2021-12-08,2026-10-21,2026-10-21,9.0,,,N-Acetylcysteine,DRUG,Memorial Sloan Kettering Cancer Center,OTHER,United States,18 Years,,ALL,,Maximum tolerated dose of N-AC,False,False,2021.0
NCT07779018,CD19/CD22 CAR-T Consolidation in R/R Aggressive B-Cell Lymphoma After Second-Line Therapy,RECRUITING,Phase 2,2026-04-01,2028-03-01,2027-04-01,30.0,,,CD22/CD19 CAR-T cell immunotherapy,DRUG,Liping Dou,OTHER,China,18 Years,85 Years,ALL,,1-year progression free survival rate (1-year-PFSR),False,False,2026.0
NCT05859997,Universal CAR-T Cells (BRL-301) in Relapse or Refractory Autoimmune Diseases,ENROLLING_BY_INVITATION,N/A,2023-05-17,2025-05-27,2024-05-27,15.0,,,BRL-301,BIOLOGICAL,Bioray Laboratories,INDUSTRY,China,18 Years,65 Years,ALL,,Safety and efficacy outcomes,False,False,2023.0
NCT07212335,Safety and Efficacy of Umbilical Cord Blood-Derived Mesenchymal Stem Cells in the Treatment of Long-Term Cytopenia After CAR-T Therapy,RECRUITING,Early Phase 1,2025-10-01,2028-09-30,2027-09-30,15.0,,,Mesenchymal Stem Cell Infusion,BIOLOGICAL,"Institute of Hematology & Blood Diseases Hospital, China",OTHER,China,18 Years,,ALL,,Number of Participants with Treatment-Related Adverse Events as Assessed by CTCAE v5.0,False,False,2025.0
NCT03115125,Descriptive Study of the Evolution in Proportion of Regulatory B Lymphocytes in Patients Hospitalized in Intensive Care for Severe Sepsis,TERMINATED,N/A,2016-04-20,2022-08-12,2022-08-12,10.0,,,"Describe for the first time the kinetics of evolution in proportion of the circulating Brég in patients with severe septic state, at times D0, D2, D7 and D14 of hospitalization in medical reanimation.",OTHER,"Centre Hospitalier Universitaire, Amiens",OTHER,France,18 Years,,ALL,,Variation in the proportion of circulating Breg compared to total B lymphocytes in the included cohort of patients,False,False,2016.0
NCT07105735,RN1201 Injection for Autoimmune Diseases Refractory to Standard Therapies,RECRUITING,Phase 1,2025-08-15,,2027-08,18.0,,,allogeneic CAR-T,BIOLOGICAL,The First Affiliated Hospital with Nanjing Medical University,OTHER,China,18 Years,,ALL,,The incidence and severity of treatment-emergent adverse events (TEAEs) and dose-limiting toxicities (DLTs),False,False,2025.0
NCT06464185,A Prospective Clinical Study of CD3-CD20 Bisspecific Antibody Based Therapy Combined With CD19-CAR T Cells in the Treatment of Relapsed Refractory B-cell Non-Hodgkin Lymphoma,ACTIVE_NOT_RECRUITING,Phase 1/2,2024-04-30,2027-04-30,2026-03-30,53.0,,,Bispecific antibody-based combined with CAR-T cell therapy,DRUG,"Institute of Hematology & Blood Diseases Hospital, China",OTHER,China,18 Years,80 Years,ALL,,Incidence rate and severity of adverse events (AE) of patients treated with bispecific antibody combined with CD19-CAR-T cells in B-NHL.（Assessed by CTCAE criteria v5 and ASTCT 2019 criteria for CRS/ICANS adverse events.）,False,False,2024.0
NCT05783089,MSLN-targeted CAR-T Cells in Solid Tumors.,NOT_YET_RECRUITING,Phase 1,,,2025-04,87.0,,,Anti-mesothelin CAR-T cells,BIOLOGICAL,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",OTHER,,18 Years,,ALL,,Adverse Events (AEs),False,False,
NCT06334991,Study for Participants With Relapsed/Refractory Non-Hodgkin Lymphoma,ACTIVE_NOT_RECRUITING,Phase 1,2024-08-23,,2027-10,20.0,,,CD19 t-haNK,BIOLOGICAL,"ImmunityBio, Inc.",INDUSTRY,South Africa,18 Years,,ALL,,Overall safety evaluation in combining CD19 t haNK as a single agent with rituximab,False,False,2024.0
NCT06980597,A Study of OL-108 in Relapsed/Refractory Autoimmune Diseases,RECRUITING,Phase 1,,,2027-12,44.0,,,OL-108,BIOLOGICAL,Beijing GoBroad Hospital,OTHER,China,18 Years,65 Years,ALL,,Dose-limiting toxicity (DLT),False,False,
NCT06911710,The Application of CAR-T Cell Therapy in Relapsed and Refractory Malignant Hematologic Tumors,RECRUITING,Phase 1/2,2024-11-09,2027-02-28,2026-02-28,90.0,,,"CAR-T Cells infusion（CAR2219,CAR2019, CAR19 etc）",DRUG,Tianjin Medical University General Hospital,OTHER,China,18 Years,,ALL,,The incidence of adverse events,False,False,2024.0
NCT06196255,Safety and Efficacy of Anti-FcRL5 CAR-T Cell Therapy in Treating Relapsed and Refractory Multiple Myeloma (R/R MM),RECRUITING,Phase 1/2,2023-12-25,2028-01-01,2027-01-01,20.0,,,anti-FcRL5 CAR-T,DRUG,Xuzhou Medical University,OTHER,China,18 Years,70 Years,ALL,,Adverse events,False,False,2023.0
NCT03389035,Transposon-manipulated Allogeneic CARCIK-CD19 Cells in Pediatric and Adult Patients With r/r ALL Post HSCT,COMPLETED,Phase 1/2,2017-12-20,2022-12-30,2021-03-31,21.0,,,CARCIK-CD19,BIOLOGICAL,Fondazione Matilde Tettamanti Menotti De Marchi Onlus,OTHER,Italy,1 Year,75 Years,ALL,,Dose Limiting Toxicities (DLT):,False,False,2017.0
NCT06704269,"Study to Assess Safety, Efficacy, and Cellular Kinetics of YTB323 in Generalized Myasthenia Gravis",RECRUITING,Phase 1/2,2025-04-22,2029-10-26,2029-10-26,15.0,,,YTB323,GENETIC,Novartis Pharmaceuticals,INDUSTRY,United States | United Kingdom | Japan | France,18 Years,65 Years,ALL,,"Occurrence, severity, and frequency of Adverse Events (AEs) and Serious Adverse Events (SAEs)",False,False,2025.0
NCT04639739,Anti-CD19 CAR NK Cell Therapy for R/R Non-Hodgkin Lymphoma.,UNKNOWN,Early Phase 1,2020-12-17,2023-12-01,2021-12-01,9.0,,,anti-CD19 CAR NK,BIOLOGICAL,Xinqiao Hospital of Chongqing,OTHER,China,18 Years,75 Years,ALL,,Incidence of dose limiting toxicity (DLTs),False,False,2020.0
NCT06064903,CD7-CAR-T Cells in Pediatric Relapsed/Refractory CD7+ T-ALL/LL,RECRUITING,Phase 1/2,2024-04-21,2040-09-30,2028-09-30,26.0,,,CD7-CART01,BIOLOGICAL,Bambino Gesù Hospital and Research Institute,OTHER,Italy,6 Months,25 Years,ALL,,Safety (Phase I) and definition of the recommended dose (Phase I),False,False,2024.0
NCT05850286,A Study of VRd-based Regimen Combined With CART-ASCT-CART2 Treatment in NDMM Patients With P53 Abnormalities,ACTIVE_NOT_RECRUITING,Phase 2,2023-04-21,,2026-04-15,20.0,,,anti-BCMA CAR-T | VRD-based Regimen,BIOLOGICAL | DRUG,"Institute of Hematology & Blood Diseases Hospital, China",OTHER,China,18 Years,65 Years,ALL,,complete response rate (CRR),False,False,2023.0
NCT06307054,CLL-1 CAR-NK Cells for Relapsed/Refractory AML,RECRUITING,Phase 1,2024-04-01,2027-03-15,2026-03-15,24.0,,,anti-CLL-1 CAR NK cells,DRUG,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",OTHER,China,18 Years,70 Years,ALL,,AE,False,False,2024.0
NCT07570862,"A Phase 2, Open-Label, Single-Arm Trial of FT819 in Participants With Lupus Nephritis",RECRUITING,Phase 2,2026-07-27,2030-01-31,2029-07-01,53.0,,,FT819,BIOLOGICAL,Fate Therapeutics,INDUSTRY,United States,12 Years,70 Years,ALL,,Complete Renal Response (CRR) at Week 26,False,False,2026.0
NCT05868083,The Safety and Efficacy of SNC-109 CAR-T Cells Therapy the Recurrent Glioblastoma,UNKNOWN,Phase 1,2022-06-24,,2024-05,16.0,,,SNC-109 CAR-T Cells,DRUG,"Shanghai Simnova Biotechnology Co.,Ltd.",INDUSTRY,China,18 Years,70 Years,ALL,,Incidence of treatment related adverse everts,False,False,2022.0
NCT04870853,Cardiovascular Events Among Adults Patients With Relapsed or Refractory Aggressive B-Cell Lymphoma Treated With Standard of Care Chimeric Antigen Receptor T Cell Therapy,UNKNOWN,N/A,2020-04-02,2025-01-30,2025-01-30,150.0,,,Electronic Health Record Review,OTHER,M.D. Anderson Cancer Center,OTHER,United States,18 Years,,ALL,,To characterize cardiac events following standard of care (SOC),False,False,2020.0
NCT06999031,A Study to Evaluate CG-105-12 in Patients With Relapsed/Refractory Multiple Myeloma,RECRUITING,Early Phase 1,2024-09-05,2027-09-30,2026-04-05,12.0,,,BCMA-Targeted Chimeric Antigen Receptor Autologous T-cell,BIOLOGICAL,The First Affiliated Hospital of Nanchang University,OTHER,China,18 Years,75 Years,ALL,,The incidence of dose-limiting toxicity (DLT).,False,False,2024.0
